t,f1,f2,f3,fx,fy,fz,frx,fry,frz
4.35,1531.44829730102,1485.0212398215,1437.99244089413,89.1982452963881,52.5353660143426,-3481.57255708411,-1801.3216265198,81799.5573073051,-918.349003596159
4.4,1521.76346470559,1488.53452384996,1449.82767323408,79.9246558647017,49.7407538499915,-3486.69485828176,-1491.34862168261,81219.6123164609,-1074.44995246995
4.45,1510.79694270242,1491.84152393845,1461.27075204565,69.9716607555898,47.0348353404687,-3490.34692585901,-1186.21159343411,80570.3069097124,-1228.60795554066
4.5,1501.32022984509,1493.84438039244,1471.17879305809,61.7224311675974,44.416910048919,-3492.93090574891,-888.523551524743,80004.8518652131,-1379.99551044848
4.55,1495.92244078718,1493.81437522911,1478.62958313742,57.2889711251678,41.9671622193379,-3495.16348079115,-605.717036227308,79665.2288579315,-1525.9449180607
4.6,1496.753389861,1491.77009232569,1483.15614640936,58.1631738504912,39.935988794655,-3498.3528402608,-354.567656902067,79668.254220311,-1660.65135818161
4.65,1504.94712980096,1488.06459331925,1484.7421635956,64.984514188422,38.5282278374458,-3503.63810048673,-147.989322643518,80074.5376775347,-1779.90566813614
4.7,1519.99697850442,1483.20722383799,1484.601326718,76.96124156016,37.3941024267753,-3511.97198808842,36.306459161289,80854.8394171969,-1892.49725258045
4.75,1539.45862497256,1478.10432135175,1484.76026610989,91.7225681332686,35.9662330975459,-3523.76108348474,235.696386037283,81874.2324428293,-2012.53976575908
4.8,1559.39665897212,1474.02518699171,1486.75629218605,106.00195421524,34.1292649304711,-3538.15066001137,461.167484787181,82916.2166578863,-2143.98037284829
4.85,1575.51591531205,1472.22847548996,1491.50968239214,116.483398636527,32.0845331870465,-3553.51124757922,704.442638412774,83744.9604044059,-2283.42744060261
4.9,1584.47366784873,1473.45358341613,1499.03815435373,120.837278747977,30.2185318279311,-3567.83514247908,944.424408480294,84177.9944302048,-2422.52168430568
4.95,1584.99927268689,1477.59028140091,1508.42049506971,118.54078595849,28.9470435569312,-3579.32057343851,1155.68769304959,84146.8387611149,-2551.26712020298
5,1578.31786984563,1483.7418211017,1518.59500339427,110.894272141945,28.3318674976805,-3587.38822225349,1332.20542253537,83720.13239814,-2667.19729091758
5.05,1567.62496831873,1490.8138175118,1527.87072625042,100.67439553083,28.6505832155209,-3592.33685709418,1452.96794317572,83074.6169322676,-2762.57309826015
5.1,1557.03876649179,1497.99247973879,1534.51277001245,91.1970065566527,30.3668256484026,-3595.37194035754,1485.31853052684,82436.2251350963,-2825.68985800045
5.15,1550.13126329459,1504.40658741939,1537.47567003749,85.2667829224477,33.5595255426298,-3597.77789532591,1420.64613807901,82000.9881062468,-2853.56501251766
5.2,1549.06097312162,1509.29681705467,1536.62151902324,84.5064215656955,37.8958489047112,-3600.53561580275,1277.0016004645,81887.0780530419,-2852.83051689921
5.25,1554.71039791001,1512.34855979182,1532.46412247133,89.4313801725802,42.9435818565158,-3604.49599945142,1080.33907885732,82141.8814911782,-2833.05917971657
5.3,1566.63053818099,1513.94021766758,1525.90004847275,99.4191328978289,48.4473833374666,-3610.31292646429,847.828110751197,82739.3730732019,-2800.76900234125
5.35,1583.16521897909,1514.90140378066,1518.05636061373,112.884132210187,54.2774093879259,-3618.23491188738,590.499789346948,83587.6354895971,-2760.35101122791
5.4,1601.8695551762,1516.07351578514,1510.22271027174,127.702395812857,60.2247096430853,-3628.02713061112,324.984285480432,84551.3470243902,-2718.28058508511
5.45,1619.61318306928,1518.32877516478,1503.92921814179,141.223155253964,65.9692553847572,-3639.14432043159,75.7029958903193,85459.1540738209,-2683.76554836391
5.5,1633.14793220703,1522.45319015789,1500.32016887306,150.841201302386,71.3375419626144,-3650.57697369982,-142.159477946088,86133.8022059406,-2662.08549080226
5.55,1640.03772394018,1528.92176914162,1499.59228588724,154.820434320426,76.4753707749944,-3660.95464995978,-334.890127421632,86442.8316485742,-2650.09017866293
5.6,1639.38244845019,1537.68198594266,1501.06002016251,152.775068601956,81.7014793127122,-3668.98735107542,-522.071943887718,86338.5553530266,-2639.63047689583
5.65,1632.39392094482,1547.97800604352,1503.43421482687,146.010242712884,87.2690157966345,-3673.99630419551,-722.561925723374,85888.7632590853,-2622.96864469966
5.7,1622.07633684506,1558.48130469201,1505.30236115924,137.17226419381,93.1854493607048,-3676.15131538473,-942.830757434607,85258.3943141195,-2597.21662512579
5.75,1612.39390151635,1567.76733956033,1505.50555709363,129.471540897486,99.276325223534,-3676.49439282334,-1179.06392011502,84664.4475861106,-2563.87690046143
5.8,1607.18455692234,1574.69162813033,1503.22889350862,125.880997923288,105.343576311051,-3676.46674746289,-1425.3715470819,84316.0393652897,-2525.86081739481
5.85,1608.58991047702,1578.72181554004,1498.383814251,127.953532072912,111.145962165475,-3677.25904664809,-1670.40646081658,84329.9647783434,-2488.14699175133
5.9,1616.27262251862,1580.05519968239,1491.83658489319,135.188641101748,116.343488508476,-3679.45552933704,-1892.37920207413,84687.1928555756,-2459.12647668798
5.95,1629.4375740885,1579.32492183785,1484.89829103579,146.555267012203,120.607609551869,-3683.97935161382,-2067.82603605191,85342.4394168948,-2448.27202362825
6,1645.89078035838,1577.55567424099,1478.9075042432,160.027116265687,123.805878873108,-3690.99623389835,-2183.13285610466,86174.7747943892,-2460.948283525
6.05,1662.86260905138,1576.02605254976,1474.97220453651,173.206978563477,126.061997051539,-3700.22684010089,-2239.46968955001,87031.7092413714,-2496.66927882373
6.1,1677.63103866833,1575.76653547174,1473.77407181669,183.90586530616,127.583867287765,-3710.89877136776,-2244.10327971385,87764.2838264573,-2552.16016464721
6.15,1688.06425533302,1577.33954772031,1475.70459627167,190.50974314715,128.473920202324,-3722.09895728141,-2199.42074419561,88256.4624232614,-2625.7104554955
6.2,1692.91882674205,1580.83806570979,1480.76033224215,192.184278500017,128.777818811103,-3732.92825242073,-2106.69985250589,88442.0509070851,-2715.82587877917
6.25,1691.95580616251,1585.86772522403,1488.1896560524,189.078967682173,128.652985928516,-3742.29357815751,-1977.74744701444,88309.8410432951,-2816.96224678061
6.3,1686.0238378053,1591.68004584732,1496.65528809347,182.285770503647,128.364182779305,-3749.19531688962,-1834.12312665762,87908.1028811937,-2920.25561860688
6.35,1677.27377557398,1597.29075255279,1504.69666324216,173.832532586621,128.116612197999,-3753.3426852838,-1695.75430403788,87354.149858562,-3018.29293076342
6.4,1669.11093044623,1601.63618468392,1511.07812976227,166.505605032444,127.965117192456,-3755.53580172818,-1574.17774526005,86832.0472923184,-3107.94365804489
6.45,1665.04650927963,1603.86557921242,1515.0139446412,162.999921021625,127.857506558334,-3757.18027161042,-1472.96106486777,86530.3835176045,-3189.6733298177
6.5,1667.47195419207,1603.6565352301,1516.3760423968,164.985125231118,127.697724802662,-3759.7549026912,-1389.25264837193,86576.5162903101,-3266.31821838862
6.55,1676.87073354791,1601.3767151044,1515.75585660033,172.545957130272,127.39820272134,-3764.37881100852,-1315.68006305381,86993.9641973846,-3341.81114587894
6.6,1691.75468404073,1597.99449319521,1514.26695569514,184.196954824297,126.929990318759,-3771.54108758339,-1243.84996004029,87700.1379918949,-3419.57474126044
6.65,1709.3874187846,1594.76602535362,1513.21902757094,197.51859559287,126.31699734017,-3781.14669397292,-1166.09277390956,88544.9005206023,-3501.82594267333
6.7,1726.80684932327,1592.79331993483,1513.67916576935,210.04266525016,125.616451011848,-3792.61690677513,-1077.44393147587,89367.012879071,-3589.00559378212
6.75,1741.40167000015,1592.75155827227,1516.16941469656,219.77280650041,124.926015595637,-3804.88307561138,-978.133301845551,90025.9453766421,-3678.99149006127
6.8,1750.88685054078,1594.13062484336,1520.55743763661,225.418210258764,124.019833527294,-3815.69500563513,-853.53374972593,90402.556925917,-3773.46426399192
6.85,1753.51347578826,1597.02458891397,1526.24591531676,225.95834646946,123.231675616912,-3823.29494965399,-723.782870287351,90405.6683535868,-3862.52404157705
6.9,1750.83855756588,1601.36822905588,1532.38671919993,222.578501833047,122.963706724263,-3828.17794545691,-617.20178752064,90121.1410575441,-3936.74161973818
6.95,1745.00443230978,1606.51206952933,1537.87962782832,217.089240118561,123.423510470652,-3830.63671182671,-553.06012475574,89667.0277011054,-3990.1879143024
7,1738.43192163271,1611.73132434755,1541.58719279264,211.520753493346,124.79879095875,-3831.08430929307,-550.11539509733,89175.5928243503,-4017.52906071562
7.05,1733.43892486241,1616.30989095418,1542.6011722679,207.79812421112,127.167733079868,-3830.02933995782,-619.784264635801,88772.0833561959,-4016.24736041507
7.1,1732.10766741052,1619.65717856417,1540.48066899376,207.547515459585,130.442438160134,-3828.26049503025,-761.480454669669,88567.4060078497,-3988.47748035296
7.15,1735.9662083582,1621.54700730223,1535.45170238719,211.770429720213,134.397363751682,-3826.95759723747,-962.848884408504,88641.7253199486,-3940.71786938341
7.2,1745.33975850183,1622.05814594104,1528.32981792572,220.453285140188,138.66977499738,-3827.09315778021,-1199.61514854659,89011.2091179223,-3882.82686443359
7.25,1758.62621688607,1621.39227976068,1520.20875624721,232.237596130932,142.809778212448,-3828.48272823626,-1439.20707225361,89590.4012254351,-3825.44641461762
7.3,1773.04786652403,1620.39653340634,1512.3681452446,244.755687118783,146.619917239477,-3830.6850077927,-1660.95825798056,90231.3406376715,-3774.13210206909
7.35,1786.12284688647,1620.37084496277,1506.02386355852,255.691369820823,150.187884603987,-3833.79936031719,-1860.78527132276,90801.8691131002,-3729.12325488384
7.4,1795.94120562256,1622.13255250028,1501.81945298427,263.38784864275,153.625226305846,-3837.53467308544,-2039.70604154392,91201.0019956168,-3688.67164835541
7.45,1801.26813157571,1625.76330117384,1499.69383921117,267.008043911482,156.99340521497,-3840.98150131157,-2200.68762029446,91365.7016355877,-3650.14634999176
7.5,1801.68707775783,1630.75244877985,1498.98082483518,266.578021568775,160.332143107182,-3842.90221931405,-2350.0240873058,91276.9792035179,-3609.99321732552
