Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
8.9,20.07053757,-1.791816473,15.46971607,-1.189461112,0.955481887,1.840550303
8.95,20.06426811,-1.800019026,15.52243805,-1.182959318,0.948738158,1.841021299
9,20.05872154,-1.807547212,15.5739727,-1.175588727,0.941405475,1.840874195
9.05,20.05389786,-1.814393759,15.62426853,-1.167357802,0.933475018,1.84010911
9.1,20.04980087,-1.820551395,15.67327881,-1.158276558,0.924946308,1.838726997
9.15,20.04642105,-1.826014042,15.7209568,-1.1483531,0.915817559,1.836729169
9.2,20.04374695,-1.830778956,15.76725483,-1.137592435,0.906087935,1.834118962
9.25,20.04177094,-1.834849834,15.81213188,-1.12599206,0.895769238,1.830904126
9.3,20.04047585,-1.838237286,15.85554409,-1.113542676,0.88486892,1.827098131
9.35,20.03984833,-1.840954542,15.89744759,-1.100231051,0.87339288,1.822716236
9.4,20.03987503,-1.843014836,15.93780422,-1.086044192,0.861353636,1.817772865
9.45,20.04054451,-1.844430923,15.97657013,-1.070970416,0.84875232,1.812281966
9.5,20.04184914,-1.845213294,16.01370811,-1.055002809,0.835590363,1.806255937
9.55,20.0437851,-1.845369935,16.04917717,-1.03813839,0.82187438,1.799704909
9.6,20.04634476,-1.844908595,16.08294296,-1.020377636,0.807604134,1.792640448
9.65,20.04952812,-1.84383738,16.11496735,-1.00172317,0.792784214,1.785074234
9.7,20.05332565,-1.842162967,16.14521599,-0.982180655,0.777423978,1.777015448
9.75,20.057724,-1.839892983,16.17365456,-0.961756349,0.761527002,1.768474102
9.8,20.06270981,-1.837040305,16.20025444,-0.940453708,0.745105326,1.759464383
9.85,20.06825829,-1.833622336,16.22498894,-0.918274462,0.728174388,1.750005007
9.9,20.07434845,-1.829657435,16.24782562,-0.89522022,0.710739315,1.740114331
9.95,20.08095551,-1.825162649,16.26874161,-0.871296525,0.692811489,1.729809523
10,20.08805275,-1.820153952,16.28771591,-0.846514046,0.674404919,1.719107747
10.05,20.09562302,-1.814643621,16.30472374,-0.820889294,0.655520797,1.708024263
10.1,20.10364342,-1.808640361,16.3197422,-0.794446051,0.636164546,1.696570992
10.15,20.11209869,-1.802150488,16.33275223,-0.767213821,0.616340995,1.684757471
10.2,20.12097549,-1.795180321,16.34373474,-0.739224911,0.596049368,1.672593713
10.25,20.13025856,-1.787737846,16.35267067,-0.7105124,0.575299323,1.660091281
10.3,20.13993454,-1.779833674,16.35954857,-0.681108892,0.554100215,1.647264481
10.35,20.14998627,-1.771480918,16.36435127,-0.65104562,0.532458663,1.634130001
10.4,20.16039085,-1.76269412,16.36706734,-0.620353937,0.510393262,1.620705843
10.45,20.1711235,-1.753488541,16.36769104,-0.589066267,0.487920314,1.607009768
10.5,20.18215561,-1.74387908,16.36621094,-0.557217062,0.465051293,1.593059063
10.55,20.19345665,-1.733880997,16.36262321,-0.524841726,0.441804081,1.578870296
10.6,20.20499802,-1.723508,16.35692596,-0.491978198,0.418188542,1.564458013
10.65,20.21675301,-1.712770224,16.34911537,-0.458668172,0.394211411,1.549832702
10.7,20.22869492,-1.701675534,16.33919334,-0.424956143,0.369886458,1.535003185
10.75,20.24080849,-1.690234065,16.32715988,-0.390884846,0.345222443,1.519980192
10.8,20.25307655,-1.678459644,16.3130188,-0.356493086,0.32022962,1.504778504
10.85,20.26548195,-1.666368842,16.296772,-0.321815878,0.294924438,1.489414215
10.9,20.27800941,-1.653981328,16.27842522,-0.286884546,0.269322991,1.473904967
10.95,20.29063988,-1.641320229,16.25798798,-0.251726985,0.243448034,1.458271027
11,20.30335617,-1.628410459,16.23547173,-0.216369286,0.217326865,1.44253397
11.05,20.31612968,-1.615275383,16.21088791,-0.18083781,0.190985113,1.426713228
11.1,20.32893753,-1.601937652,16.18424988,-0.145160764,0.16445294,1.410827398
11.15,20.34175301,-1.588418841,16.15557861,-0.109368145,0.137761697,1.394894242
11.2,20.3545475,-1.574738741,16.12489319,-0.073491521,0.110937223,1.378929853
11.25,20.36730003,-1.560916066,16.09221458,-0.037562214,0.084005691,1.362947941
11.3,20.37998772,-1.546970606,16.0575676,-0.001609587,0.056991618,1.346963763
11.35,20.39259911,-1.532925129,16.02097702,0.034340557,0.029918976,1.330995083
11.4,20.40512085,-1.518805146,15.98246956,0.070266865,0.002816269,1.315060616
11.45,20.4175415,-1.504639268,15.94207382,0.106152594,-0.024286948,1.299181581
11.5,20.42985344,-1.490460396,15.89981937,0.141985297,-0.05135775,1.283383131
11.55,20.4420433,-1.47630322,15.85573769,0.177753597,-0.078357875,1.267692208
