t,f1,f2,f3
17.9,1781.60654964668,1627.04067354677,1453.9737350446
17.95,1781.48124348456,1627.96033107849,1456.32120937944
18,1781.93969834739,1627.8627980917,1457.94687898561
18.05,1782.82902784274,1627.13794090178,1458.90914248414
18.1,1783.89113586619,1626.16722163064,1459.35451816069
18.15,1784.41674304825,1625.18443925596,1459.44152572675
18.2,1783.90098988676,1624.33884347186,1459.28443949195
18.25,1782.62730859845,1623.7856912197,1458.93100169722
18.3,1780.8441611664,1623.68016796115,1458.4240101509
18.35,1778.76295063686,1624.01688845598,1457.72972270309
18.4,1776.47743463841,1624.63224470567,1456.73880490182
18.45,1774.00396006977,1625.26429973345,1455.31087917846
18.5,1771.40653718238,1625.64023796353,1453.36078582704
18.55,1768.73012428787,1625.50546311056,1450.86807372797
18.6,1765.90370325907,1624.68027834063,1447.87395093996
18.65,1762.93845971017,1623.18153768523,1444.53386433304
18.7,1760.07055766198,1621.146604542,1441.02439711936
18.75,1757.19307919011,1618.89357260164,1437.63071891588
18.8,1754.1017816008,1616.69265329782,1434.54207793841
18.85,1750.56745308476,1614.7565176344,1431.85920236703
18.9,1746.34225248762,1613.21984468506,1429.57645037648
18.95,1741.56034337787,1611.92819802407,1427.49394520072
19,1736.46105407224,1610.46778086489,1425.46580085233
19.05,1731.26911755195,1608.900515358,1423.31615932207
19.1,1726.08376832264,1607.27960341678,1420.95195683322
19.15,1720.95417638686,1605.53369835792,1418.3514058981
19.2,1715.83415368492,1603.57488764992,1415.53580456835
19.25,1710.5833165958,1601.32426678565,1412.56264541707
19.3,1705.09105039878,1598.73143235146,1409.51679437336
19.35,1699.36554088834,1595.81703115611,1406.52117176661
19.4,1693.4818640169,1592.53832711019,1403.63788762126
19.45,1687.52931770863,1588.91230157985,1400.89682903821
19.5,1681.42028882284,1585.20474146721,1398.29437353277
19.55,1675.06874545767,1581.68603119262,1395.67918202551
19.6,1668.57205255273,1578.42605587879,1392.79255008105
19.65,1662.05726406119,1575.34406724812,1389.27026728984
19.7,1655.65673292795,1572.25464546103,1384.97694368392
19.75,1649.49054994575,1568.95518011657,1380.09626273258
19.8,1643.63305678219,1565.30806738201,1374.83490209807
19.85,1638.06528970995,1561.22901380637,1369.45052767883
