Time,X,Y,Z,RX,RY,RZ
8.25,15.26313926,-1.227979161,11.09785782,-1.247123297,1.035270712,1.858329923
8.3,15.25144801,-1.240257387,11.14573162,-1.25274567,1.036143416,1.867294034
8.35,15.24027084,-1.252131966,11.19322957,-1.257343832,1.036428853,1.875631179
8.4,15.22961781,-1.26359228,11.24030921,-1.260923269,1.036115371,1.883336374
8.45,15.21949327,-1.274626986,11.28693022,-1.263492831,1.035188882,1.890404756
8.5,15.20990584,-1.285223218,11.33305011,-1.265066726,1.033635927,1.896830218
8.55,15.20085552,-1.295366483,11.37862856,-1.265662655,1.031457378,1.902605281
8.6,15.19234664,-1.305042924,11.42362599,-1.265299688,1.028655104,1.907723213
8.65,15.18437776,-1.314240117,11.46800061,-1.263995151,1.02523328,1.912179156
8.7,15.17694887,-1.322947537,11.51171212,-1.261763877,1.021203562,1.915968995
8.75,15.17005709,-1.33115708,11.55472093,-1.258615837,1.016567445,1.919090734
8.8,15.16370099,-1.338863708,11.59698741,-1.254556266,1.011328731,1.921545498
8.85,15.15788488,-1.346065801,11.63847198,-1.249585289,1.005492592,1.923338893
8.9,15.15260733,-1.352763539,11.67913577,-1.243700539,0.999051861,1.924479397
8.95,15.14787409,-1.358956201,11.71893916,-1.236902263,0.992000618,1.92497187
9,15.14368661,-1.364639738,11.75784615,-1.229195573,0.984333565,1.924818058
9.05,15.14004489,-1.36980866,11.79581788,-1.220589318,0.976041479,1.924018085
9.1,15.1369518,-1.374457476,11.83281906,-1.211093969,0.96712386,1.922572948
9.15,15.13440014,-1.378581598,11.8688144,-1.200718001,0.95757884,1.920484019
9.2,15.13238128,-1.382178955,11.90376792,-1.18946665,0.947405545,1.917754787
9.25,15.13088946,-1.385252336,11.93764864,-1.177337298,0.936616315,1.914393354
9.3,15.12991171,-1.387809753,11.97042345,-1.164320222,0.925218943,1.910413806
9.35,15.12943795,-1.389861193,12.00205924,-1.150401587,0.913219595,1.905832096
9.4,15.12945811,-1.391416649,12.03252719,-1.135567807,0.900631362,1.900663308
9.45,15.12996354,-1.392485748,12.0617942,-1.119806667,0.887455426,1.894922024
9.5,15.1309485,-1.393076413,12.08983218,-1.103110937,0.873693284,1.888621208
9.55,15.13241008,-1.393194672,12.11661017,-1.085477501,0.859351852,1.881771453
9.6,15.13434254,-1.392846375,12.14210225,-1.066906856,0.844430883,1.874384852
9.65,15.13674588,-1.392037643,12.16627963,-1.047401747,0.828935174,1.866473619
9.7,15.13961289,-1.390773515,12.18911638,-1.026968093,0.812874511,1.858047352
9.75,15.1429335,-1.38905975,12.21058658,-1.005612439,0.796252633,1.849116521
9.8,15.14669763,-1.386906071,12.23066863,-0.983338397,0.779082129,1.839695959
9.85,15.15088655,-1.384325615,12.24934238,-0.960147777,0.76137914,1.829805235
9.9,15.15548443,-1.381332242,12.26658333,-0.936042262,0.743149028,1.819463544
9.95,15.16047254,-1.377938824,12.28237423,-0.911027647,0.724403693,1.808688837
10,15.16583073,-1.37415742,12.29669921,-0.885115086,0.705157783,1.79749906
10.05,15.17154604,-1.369997298,12.30953958,-0.858321846,0.685412545,1.785910169
10.1,15.17760118,-1.365465031,12.32087803,-0.830672791,0.665173649,1.773934629
10.15,15.18398464,-1.360565386,12.33070018,-0.802198771,0.644446144,1.761582412
10.2,15.19068633,-1.355303135,12.33899162,-0.772933567,0.623229219,1.748863986
10.25,15.19769475,-1.349684307,12.34573796,-0.742911765,0.601532972,1.735791443
10.3,15.2049998,-1.343716913,12.35093055,-0.712167457,0.579367185,1.722379741
10.35,15.21258854,-1.337410852,12.35455643,-0.6807333,0.556738778,1.708646329
10.4,15.22044366,-1.330777103,12.35660698,-0.648642077,0.533667195,1.694610029
10.45,15.22854646,-1.323827189,12.35707785,-0.615927689,0.51016948,1.680289413
10.5,15.23687535,-1.316572356,12.35596042,-0.58262616,0.486257632,1.665702556
10.55,15.24540727,-1.309024127,12.3532518,-0.548774509,0.461950347,1.650866781
10.6,15.25412063,-1.301192849,12.34895056,-0.514412404,0.43725794,1.635797298
10.65,15.26299527,-1.293086175,12.34305382,-0.479583441,0.412187451,1.620505073
10.7,15.27201102,-1.284710043,12.33556301,-0.444334143,0.38675328,1.60499933
10.75,15.28115638,-1.276072103,12.32647814,-0.408709195,0.360964586,1.589291289
10.8,15.29041837,-1.267182796,12.31580208,-0.372749171,0.334832091,1.573396404
10.85,15.29978404,-1.258054631,12.30353627,-0.336490682,0.308372992,1.557331503
10.9,15.30924187,-1.248702458,12.28968504,-0.299966481,0.281604119,1.541115033
10.95,15.31877747,-1.239143738,12.27425559,-0.263205736,0.254549264,1.524768186
11,15.32837785,-1.229397278,12.25725655,-0.226235725,0.22723697,1.508313519
11.05,15.33802144,-1.21948072,12.23869656,-0.189084014,0.199694034,1.491771351
11.1,15.34769095,-1.209411164,12.2185857,-0.151780095,0.171951994,1.475161127
11.15,15.35736623,-1.199204899,12.19693982,-0.114355332,0.14404363,1.458501419
11.2,15.36702565,-1.188876866,12.17377332,-0.076842734,0.11599596,1.441809054
11.25,15.3766534,-1.178441193,12.14910203,-0.039275051,0.087836351,1.425098367
11.3,15.3862322,-1.167912821,12.12294468,-0.001682984,0.059590436,1.408385311
11.35,15.39575339,-1.15730894,12.09531997,0.035906486,0.031283281,1.391688459
11.4,15.4052069,-1.146648809,12.06624808,0.073471034,0.002944691,1.37502738
11.45,15.41458409,-1.135954029,12.0357506,0.110993152,-0.025394433,1.358424261
11.5,15.42387921,-1.125249438,12.00384986,0.148459827,-0.053699663,1.341905402
11.55,15.43308216,-1.114561228,11.97056962,0.185859161,-0.081930994,1.325498973
11.6,15.44218143,-1.103912707,11.93593506,0.223175436,-0.110049394,1.309229903
11.65,15.45116407,-1.093323585,11.89997427,0.260387071,-0.13801317,1.293117512
11.7,15.46001135,-1.082811233,11.86271534,0.297468435,-0.165779313,1.277179749
11.75,15.46870743,-1.072392751,11.82418922,0.334392093,-0.193312946,1.261434314
11.8,15.47723215,-1.062084516,11.78442687,0.371129406,-0.220582659,1.245898658
11.85,15.48556823,-1.051903181,11.74346285,0.40765239,-0.247558677,1.230590602
11.9,15.49370415,-1.041867015,11.70132956,0.443935154,-0.274218391,1.215530591
11.95,15.5016284,-1.031995277,11.65806373,0.47995264,-0.300537138,1.200741684
12,15.50933233,-1.022306867,11.61369918,0.515680638,-0.326492202,1.186245693
12.05,15.51680874,-1.012820146,11.56827336,0.551094841,-0.352064201,1.172064057
12.1,15.52405043,-1.003553472,11.52182156,0.586168951,-0.377223934,1.158218214
12.15,15.53105309,-0.994523496,11.47438336,0.620873238,-0.401942486,1.14472811
12.2,15.53780375,-0.985744078,11.42599404,0.655173674,-0.426194678,1.131610072
12.25,15.54429088,-0.977227367,11.37669539,0.689032616,-0.44994913,1.118879431
12.3,15.55050011,-0.968984704,11.32652697,0.722410678,-0.47317892,1.10655127
12.35,15.55641413,-0.961025808,11.27553129,0.755266663,-0.495863667,1.094638676
12.4,15.56201568,-0.95335914,11.22375153,0.787559064,-0.517983584,1.083151994
12.45,15.56728891,-0.945994238,11.17123162,0.819248869,-0.539530319,1.072104688
